sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves
158023,L. Messi,Lionel Andrés Messi Cuccittini,27,24/06/1987,169,67,Argentina,FC Barcelona,93,95,0,0,Left,5,3,4
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,29,05/02/1985,185,80,Portugal,Real Madrid,92,92,0,0,Right,5,4,5
9014,A. Robben,Arjen Robben,30,23/01/1984,180,80,Netherlands,FC Bayern München,90,90,0,0,Left,5,2,4
41236,Z. Ibrahimović,Zlatan Ibrahimović,32,03/10/1981,195,95,Sweden,Paris Saint-Germain,90,90,0,0,Right,5,4,4
167495,M. Neuer,Manuel Neuer,28,27/03/1986,193,92,Germany,FC Bayern München,90,90,0,0,Right,5,4,1
176580,L. Suárez,Luis Alberto Suárez Díaz,27,24/01/1987,181,81,Uruguay,FC Barcelona,89,91,0,0,Right,5,4,4
183277,E. Hazard,Eden Hazard,23,07/01/1991,173,74,Belgium,Chelsea,88,90,0,0,Right,4,4,4
7826,R. van Persie,Robin van Persie,30,06/08/1983,187,71,Netherlands,Manchester United,88,88,0,0,Left,5,3,4
121944,B. Schweinsteiger,Bastian Schweinsteiger,29,01/08/1984,183,79,Germany,FC Bayern München,88,88,0,0,Right,4,3,3
156616,F. Ribéry,Franck Bilal Ribéry,31,07/04/1983,170,72,France,FC Bayern München,88,88,0,0,Right,4,4,5
167397,Falcao,Radamel Falcao García Zárate,28,10/02/1986,177,72,Colombia,Manchester United,88,88,0,0,Right,4,4,4
173731,G. Bale,Gareth Frank Bale,24,16/07/1989,183,74,Wales,Real Madrid,87,91,0,0,Left,4,3,4
188545,R. Lewandowski,Robert Lewandowski,25,21/08/1988,184,78,Poland,FC Bayern München,87,89,0,0,Right,4,4,4
121939,P. Lahm,Philipp Lahm,30,11/11/1983,170,66,Germany,FC Bayern München,87,87,0,0,Right,4,3,3
155862,Sergio Ramos,Sergio Ramos García,28,30/03/1986,183,75,Spain,Real Madrid,87,87,0,0,Right,4,3,3
164240,Thiago Silva,Thiago Emiliano da Silva,29,22/09/1984,183,79,Brazil,Paris Saint-Germain,87,87,0,0,Right,4,3,3
168542,David Silva,David Josué Jiménez Silva,28,08/01/1986,170,67,Spain,Manchester City,87,87,0,0,Left,4,2,4
177003,L. Modrić,Luka Modrić,28,09/09/1985,174,65,Croatia,Real Madrid,87,87,0,0,Right,4,4,4
